Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
CSRA,CSRA Inc.,Information Technology,30.85,15.12,1.275.917,1.83,33.79,27.38,5134501276,543000000,13.324.839,11.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSRA
CSX,CSX Corp.,Industrials,50.47,21.94,15.102.888,6.07,60.04,45.41,47340511707,5003000000,4.216.355,4.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSX
CMI,Cummins Inc.,Industrials,165.73,16.83,25.008.683,8.23,194.18,1.438.301,28669230787,2924000000,19.406.168,3.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI
CVS,CVS Health,Consumer Staples,70.55,12.36,26.899.798,4.91,84,66.45,75323141722,11704000000,0.549852,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
DHI,D. R. Horton,Consumer Discretionary,44.55,16.32,10.801.469,2.73,53.32,293.716,17390873686,1691000000,11.931.022,2.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI
DHR,Danaher Corp.,Health Care,92.16,22.87,0.5879265,3.53,104.82,78.97,66351150000,4339800000,3.688.278,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
DRI,Darden Restaurants,Consumer Discretionary,91.33,22.72,26.503.997,3.81,100.11,71.7,11745595320,997600000,15.278.828,5.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRI
DVA,DaVita Inc.,Health Care,71.91,20.55,0,4.3,80.71,52.51,13685178000,2252294000,11.451.397,2.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVA
DE,Deere & Co.,Industrials,153.66,23.14,14.866.204,6.64,171.96,106.72,52186628646,4053300000,23.746.448,5.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE
DAL,Delta Air Lines Inc.,Industrials,51.23,10.37,22.655.525,4.94,60.79,43.81,38393603535,8348000000,0.91792434,2.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
XRAY,Dentsply Sirona,Health Care,56.85,22.65,0.60034305,1.99,68.98,52.535,13390513478,-411100000,4.626.262,1.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRAY
DVN,Devon Energy Corp.,Energy,34.94,23.93,0.6528836,-6.89,47.25,287.947,19317380000,3723000000,20.660.408,2.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DVN
DLR,Digital Realty Trust Inc,Real Estate,98.96,16.55,35.710.857,2.19,127.23,101.101,21400952517,1260662000,12.434.961,2.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLR
DFS,Discover Financial Services,Financials,72.4,12.13,18.269.607,5.41,81.93,57.5,27433540000,0,23.610.325,2.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DFS
DISCA,Discovery Communications-A,Consumer Discretionary,22.87,11,0,1.96,30.25,15.99,8763756733,2100000000,1.804.088,1.5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCA
DISCK,Discovery Communications-C,Consumer Discretionary,21.58,10.37,0,1.96,29.18,14.99,8320262123,2100000000,17.147.918,1.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCK
DISH,Dish Network,Consumer Discretionary,43.77,16.09,0,3.06,66.5,42.48,21032719056,2754331000,18.521.843,3.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISH
DG,Dollar General,Consumer Discretionary,95.1,21.18,10.625.255,4.43,105.82,65.97,26580644874,2457604000,15.283.886,4.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
DLTR,Dollar Tree,Consumer Discretionary,101.58,26.66,0,3.77,116.65,65.63,25151198417,2430300000,16.097.589,4.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DLTR
D,Dominion Energy,Utilities,73.31,20.42,45.281.997,4.91,85.3,71.59,47543571860,6428000000,37.954.214,2.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
DOV,Dover Corp.,Industrials,96.2,23.87,18.815.053,5.15,109.06,75.51,15566645713,1513291000,1.986.176,3.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
DWDP,DowDuPont,Materials,68.21,49.43,21.529.746,1.59,77.08,64.01,1.65203E+11,5250000000,26.922.395,1.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DWDP
DPS,Dr Pepper Snapple Group,Consumer Staples,116.93,26.57,19.661.016,4.54,126.65,83.23,21209783858,1507000000,42.149.186,9.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPS
DTE,DTE Energy Co.,Utilities,98.49,19.12,35.559.585,4.82,116.74,96.56,17808073691,2790000000,19.091.922,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE
DUK,Duke Energy,Utilities,74.32,16.7,47.849.464,3.12,91.8,72.93,52078185682,9895000000,29.348.857,1.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
DRE,Duke Realty Corp,Real Estate,24.52,19.77,31.533.308,0.88,30.14,24.73,9035293365,529483000,16.077.257,1.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DRE
DXC,DXC Technology,Information Technology,91.92,79.93,0.7493755,-0.89,102.95,67.76,27408621020,1628000000,19.598.055,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXC
ETFC,E*Trade,Financials,48.48,22.14,0,2.15,56,32.25,13754977266,0,5.689.136,2.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETFC
EMN,Eastman Chemical,Materials,93.57,12.28,22.630.835,10.12,104.08,76.02,14226830813,2152000000,14.904.785,2.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN
ETN,Eaton Corporation,Industrials,79.41,17.08,29.404.557,6.68,89.85,69.45,35961772000,4253000000,18.161.736,2.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN
EBAY,eBay Inc.,Information Technology,41.02,24.86,0,-1.07,46.99,31.89,44216696399,2941000000,46.720.185,3.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EBAY
ECL,Ecolab Inc.,Materials,127.76,28.08,12.319.711,4.14,140.5,119.61,38460272282,2848600000,37.360.687,5.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL
EIX,Edison Int'l,Utilities,58.07,13.23,40.542.803,3.96,83.38,58.76,19447670886,4284000000,2.161.095,1.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EIX
EW,Edwards Lifesciences,Health Care,123.78,32.57,0,2.88,138.48,89.2,27447099863,1156700000,78.283.277,8.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW
EA,Electronic Arts,Information Technology,116.54,34.48,0,3.07,131.01,81.27,37890226992,1560000000,74.415.817,8.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA
EMR,Emerson Electric Company,Industrials,66.4,25.74,2.813.225,2.35,74.45,56.77,44040298425,2542000000,36.707.752,5.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR
ETR,Entergy Corp.,Utilities,72.02,10.65,4.892.126,-3.26,87.95,69.63,13116894887,880700000,15.543.115,1.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR
EVHC,Envision Healthcare,Health Care,35.34,10.91,0,-0.48,73,23.77,4212729247,827200000,1.227.099,0.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EVHC
EOG,EOG Resources,Energy,101.04,246.44,0.63339007,-1.98,119,81.99,61164030149,3692749000,802.302,4.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
EQT,EQT Corporation,Energy,46.25,53.16,0.2518363,-2.69,67.84,47.13,12638828950,1518305000,64.987.307,2.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQT
EFX,Equifax Inc.,Industrials,114,19.03,13.265.306,4.04,147.02,90.72,14121334618,1141200000,56.338.058,4.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EFX
EQIX,Equinix,Real Estate,409.98,23.06,18.775.817,1.77,495.345,361.9,33333813618,1687152000,10.639.136,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX
EQR,Equity Residential,Real Estate,55.26,17.6,35.437.918,1.63,70.455,56.07,20925508143,1710686000,8.593.619,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR
ESS,"Essex Property Trust, Inc.",Real Estate,218.28,18.66,32.138.102,6.27,270.04,214.03,14383525286,1237886000,141.830.845,2.3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS
EL,Estee Lauder Cos.,Consumer Staples,131.46,37.78,11.283.498,3.35,138.74,81.69,49543264457,2478000000,39.522.583,10.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL
RE,Everest Re Group Ltd.,Financials,241.06,27.24,21.078.234,23.71,277.17,208.81,10131892523,0,20.991.988,1.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RE
ES,Eversource Energy,Utilities,56.11,18.22,33.397.784,2.96,66.15,55.2,18027633617,2738713000,31.134.193,1.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ES
EXC,Exelon Corp.,Utilities,35.98,14.51,38.174.274,1.23,42.67,33.3,34734816899,8548000000,13.933.871,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXC
EXPE,Expedia Inc.,Consumer Discretionary,123.03,30.99,0.92785895,1.81,161,115.55,19722178609,1481458000,25.074.897,4.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPE
EXPD,Expeditors International,Industrials,60.36,25.26,13.520.038,2.36,67.54,51.96,11040678071,721643000,2.190.319,5.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD
ESRX,Express Scripts,Health Care,73.35,10.72,0,5.39,83.485,55.8,42449656350,7309300000,0.57588416,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESRX
EXR,Extra Space Storage,Real Estate,77.56,18.12,3.879.632,2.92,88.56,71.34,10133547517,717468000,12.204.818,4.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR
XOM,Exxon Mobil Corp.,Energy,76.07,21.37,40.031.195,1.88,89.3,76.05,3.26149E+11,39052000000,17.701.944,1.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
FFIV,F5 Networks,Information Technology,137.25,21.21,0,6.51,149.5,114.63,8744185796,629940000,41.203.604,6.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
FB,"Facebook, Inc.",Information Technology,171.58,27.9,0,5.39,195.32,132.44,5.23423E+11,23624000000,13.241.967,7.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB
FAST,Fastenal Co,Industrials,52.15,27.02,27.798.648,2.01,57.815,39.79,15311373377,1009600000,3.472.977,7.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FAST
FRT,Federal Realty Investment Trust,Real Estate,108.11,18.35,35.925.992,3.5,143.79,109.74,8077368506,540767000,12.898.601,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT
FDX,FedEx Corporation,Industrials,239.27,19.45,0.7963368,11.07,274.66,182.89,67280478816,8062000000,10.751.684,3.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
FIS,Fidelity National Information Services,Information Technology,92.74,22.08,1.322.724,1.72,103.65,77.63,32308459680,2782000000,47.038.417,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS
FITB,Fifth Third Bancorp,Financials,31.1,16.9,19.789.734,2.85,33.91,23.2,22437653700,0,28.802.848,1.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB
FE,FirstEnergy Corp,Utilities,30.64,11.18,4.673.807,-14.49,35.22,27.93,13706075072,-5067000000,12.994.481,2.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE
FISV,Fiserv Inc,Information Technology,133.05,27.32,0,4.14,144.2,106.2,26918949723,1911000000,6.518.713,11.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FISV
FLIR,FLIR Systems,Information Technology,46.46,25.53,12.396.694,1.21,52.88,33.75,6706992926,375267000,5.137.961,3.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLIR
FLS,Flowserve Corporation,Industrials,40.82,26.17,18.291.216,1.12,51.92,37.51,5427884956,463066000,20.803.037,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLS
FLR,Fluor Corp.,Industrials,55.31,19.9,14.726.508,1.99,62.09,370.351,7978485059,709756000,0.5516402,2.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLR
FMC,FMC Corporation,Materials,80.87,32.48,0.785995,1.56,98.7,56.53,11273961835,557800000,60.089.035,5.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC
FL,Foot Locker Inc,Consumer Discretionary,45.88,9.5,25.827.951,4.91,77.86,28.42,5819080328,957000000,10.362.948,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FL
F,Ford Motor,Consumer Discretionary,10.43,5.89,67.843.866,1.9,13.48,10.19,42414328338,9281000000,0.27054095,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F
FTV,Fortive Corp,Industrials,69.14,25.05,0.39057052,2.46,76.68,548.844,24916503061,1508300000,51.682.673,7.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTV
FBHS,Fortune Brands Home & Security,Industrials,62.44,20.27,12.618.296,3.04,73.62,55.25,9624169008,814500000,18.434.572,3.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FBHS
BEN,Franklin Resources,Financials,38,12.67,2.332.657,3,47.65,37.01,21759187973,2711300000,3.399.101,1.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN
FCX,Freeport-McMoRan Inc.,Materials,17.16,14.67,11.198.208,1.24,20.25,11.05,25853969330,5347000000,16.538.345,3.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX
GPS,Gap Inc.,Consumer Discretionary,31.17,15.35,28.203.557,1.69,35.68,21.02,12684517721,1959000000,11.289.738,3.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPS
GRMN,Garmin Ltd.,Consumer Discretionary,61.13,21.23,32.339.885,2.69,64.96,48.5,11840331607,736798000,5.319.881,3.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN
IT,Gartner Inc,Information Technology,114.26,36.86,0,2.31,142.16,97.96,10828314389,234935000,4.894.499,13.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IT
GD,General Dynamics,Industrials,206.05,20.71,15.631.542,9.55,229.54,181.94,64180390701,4618000000,20.481.362,5.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
GE,General Electric,Industrials,14.45,13.76,3.147.541,-0.72,30.59,14.71,1.32249E+11,-206000000,10.887.611,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE
GGP,General Growth Properties Inc.,Real Estate,21.62,13.86,4.005.462,1.34,25.72,18.83,21018887283,1740540000,17.003.777,2.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GGP
GIS,General Mills,Consumer Staples,53.99,17.53,35.864.594,2.77,63.73,49.65,31098243069,3107600000,20.389.178,7.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
GM,General Motors,Consumer Discretionary,40.75,6.58,35.857.513,6,46.76,31.92,61536606173,23541000000,0.5633218,1.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
GPC,Genuine Parts,Consumer Discretionary,96.31,21.17,27.198.548,4.6,107.75,79.86,14554321748,1201517000,1.212.236,4.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC
GILD,Gilead Sciences,Health Care,78.22,8.16,2.754.954,9.95,89.54,63.759,1.08107E+11,17590000000,52.087.464,4.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD
GPN,Global Payments Inc.,Information Technology,100.59,27.86,0.037622273,1.58,113.26,76.47,16920023264,960345000,5.775.833,4.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPN
GS,Goldman Sachs Group,Financials,246.35,12.44,11.668.612,8.61,273.79,209.62,96978500251,0,2.309.415,1.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS
GT,Goodyear Tire & Rubber,Consumer Discretionary,30.75,9.92,16.731.402,4.74,37.2,28.81,8244568238,2044000000,0.72725976,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GT
GWW,Grainger (W.W.) Inc.,Industrials,258.6,22.57,19.700.643,10.02,298.145,155,14639308205,1279846000,13.995.146,8.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWW
HAL,Halliburton Co.,Energy,47.41,38.86,14.489.837,-0.53,57.86,38.181,43356557470,2910000000,21.424.224,4.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL
HBI,Hanesbrands Inc,Consumer Discretionary,19.57,10.04,27.322.404,1.41,25.73,18.9,8006268615,926153000,16.339.768,6.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBI
HOG,Harley-Davidson,Consumer Discretionary,47.54,13.7,30.218.647,2.98,63.4,44.52,8158949890,1058817000,166.195,4.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOG
HRS,Harris Corporation,Information Technology,149.84,26.38,14.922.442,4.43,160.67,104.16,18140726600,1368000000,29.516.637,5.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRS
HIG,Hartford Financial Svc.Gp.,Financials,53.34,14.34,17.901.897,2.27,59.2,46.35,19926305632,0,13.939.538,1.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG
HAS,Hasbro Inc.,Consumer Discretionary,96.48,20.57,22.304.833,4.34,116.2,87.92,12732072001,1028425000,32.375.681,5.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS
HCA,HCA Holdings,Health Care,95.97,14.07,14.227.642,5.94,106.84,71.18,34449052800,8202000000,0.7251921,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA
HCP,HCP Inc.,Real Estate,22.64,10.99,6.330.197,1.33,33.67,22.8,10967755538,1412684000,8.127.109,1.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCP
HP,Helmerich & Payne,Energy,64.87,-54.51,41.499.925,-1.2,75.02,42.16,7345243806,483673000,37.385.862,1.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HP
HSIC,Henry Schein,Health Care,70.85,19.85,0,3.1,93.495,65.28,11452961984,1033985000,1.262.194,3.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC
HES,Hess Corporation,Energy,43,-9.33,22.670.596,-19.94,55.48,37.25,14016129999,-819000000,3.780.475,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES
HPE,Hewlett Packard Enterprise,Information Technology,15.04,11.57,19.280.206,0.21,24.88,12.815,24800859640,3683000000,14.609.766,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,78.66,36.42,0.7315289,1.05,88.11,55.79,26242415796,2815000000,37.628.453,17.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HLT
HOLX,Hologic,Health Care,38.8,19.21,0,2.64,46.8,35.76,11181493750,1561000000,480.335,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX
HD,Home Depot,Consumer Discretionary,181.22,28.1,18.610.487,6.46,207.605,136.82,2.23379E+11,16513000000,28.964.398,84.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
HON,Honeywell Int'l Inc.,Industrials,146.02,20.68,19.710.299,2.08,165.13,119.31,1.14422E+11,8333000000,28.267.899,5.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON
HRL,Hormel Foods Corp.,Consumer Staples,32.21,20.39,22.907.758,1.57,38,29.75,17338613096,1422305000,25.174.792,3.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL
HST,Host Hotels & Resorts,Real Estate,18.75,11.23,41.131.105,1.02,21.53,17.26,14394715334,1547000000,35.549.128,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST
HPQ,HP Inc.,Information Technology,19.92,12.07,26.270.628,1.49,24.1,15.39,34895294088,3700000000,0.8954903,0.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ
HUM,Humana Inc.,Health Care,262.37,22.39,0.6040015,4.06,293.35,189.01,36973617235,0,0.9256895,3.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUM
HBAN,Huntington Bancshares,Financials,15.1,15.41,28.132.992,1,16.53,12.14,16766497291,0,35.112.102,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN
HII,Huntington Ingalls Industries,Industrials,225.37,18.75,12.264.713,12.15,253.44,183.42,10628247899,1107000000,18.924.941,6.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HII
IDXX,IDEXX Laboratories,Health Care,169.28,53.57,0,2.94,198.73,140.63,15422885020,478307000,797.525,196.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IDXX
INFO,IHS Markit Ltd.,Industrials,43.73,26.19,0,1,49.19,37.82,17969275816,1018900000,50.604,2.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INFO
ITW,Illinois Tool Works,Industrials,156.15,23.62,19.089.574,4.86,179.07,126.52,55994378108,3924000000,39.286.149,10.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW
ILMN,Illumina Inc,Health Care,209.54,52.25,0,4.92,248.97,1.580.203,32295200000,1192000000,11.713.953,10.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ILMN
INCY,Incyte,Health Care,83.92,-119.89,0,0.54,153.15,84.21,18220961259,-81686000,1.702.699,10.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INCY
IR,Ingersoll-Rand PLC,Industrials,87.6,19.38,19.739.007,5.07,97.67,77.26,22785450609,1987100000,16.147.361,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR
INTC,Intel Corp.,Information Technology,42.75,12.32,26.548.672,1.98,50.85,33.23,2.11536E+11,26247000000,3.348.876,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC
ICE,Intercontinental Exchange,Financials,67,22.95,54.298.644,2.37,761.378,56.8,41373051167,3103000000,9.619.987,2.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE
IBM,International Business Machines,Information Technology,147.59,10.67,38.999.026,6.11,182.79,139.13,1.42433E+11,16557000000,1.817.167,7.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
IP,International Paper,Materials,56.05,15.57,3.206.751,5.14,66.94,49.6,24465996443,3004000000,10.738.261,4.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP
IPG,Interpublic Group,Consumer Discretionary,21.34,15.46,33.802.817,1.49,25.71,18.3,8277363031,1074900000,14.712.903,4.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG
IFF,Intl Flavors & Fragrances,Materials,138,24.17,19.341.276,5.05,157.4,116.3,11270040447,699963000,44.208.813,6.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF
INTU,Intuit Inc.,Information Technology,152.75,40.52,0.96720195,3.72,170.59,111.9,41233771565,1654000000,9.633.731,33.5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU
ISRG,Intuitive Surgical Inc.,Health Care,381.87,48.58,0,5.67,452,23.310.643,44866621303,1153700000,14.655.261,9.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG
IVZ,Invesco Ltd.,Financials,31.92,11.87,3.466.826,2.74,38.43,29.36,13620847614,1606200000,26.513.786,1.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ
IQV,IQVIA Holdings Inc.,Health Care,95.23,21.74,0,0.76,110.67,75.94,20426488713,1542000000,28.477.087,2.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IQV
IRM,Iron Mountain Incorporated,Real Estate,32.07,15.42,708.258,0.46,41.53,32.05,9410249279,1116140000,32.898.626,4.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IRM
JBHT,J. B. Hunt Transport Services,Industrials,114.81,30.62,0.8139042,6.19,126.49,83.35,12945366350,1007309000,17.697.402,8.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBHT
JEC,Jacobs Engineering Group,Industrials,62.82,19.45,0.9089532,2.43,72.18,49.31,9326484316,409832000,12.129.636,2.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC
SJM,JM Smucker,Consumer Staples,118.37,15.35,26.036.885,5.1,143.68,99.565,13612394896,1411300000,2.496.677,1.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM
JNJ,Johnson & Johnson,Health Care,126.36,17.31,25.566.885,0.39,148.32,113.15,3.53062E+11,22430000000,46.326.222,4.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ
JCI,Johnson Controls International,Industrials,36.55,14,27.659.574,1.71,44.37,34.51,34822224800,4295000000,11.415.336,1.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JCI
JPM,JPMorgan Chase & Co.,Financials,107.88,15.43,19.845.841,6.3,1.173.529,81.635,3.86614E+11,0,33.714.993,1.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM
JNPR,Juniper Networks,Information Technology,24.66,14.09,15.754.234,0.78,30.96,23.87,9267350000,1115500000,18.543.326,1.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR
KSU,Kansas City Southern,Industrials,103.53,19.8,13.445.379,9.16,114.85,81.54,11037040988,1295400000,4.281.897,2.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSU
K,Kellogg Co.,Consumer Staples,65.98,16.5,3.363.962,1.95,76.69,58.76,22182794875,1827000000,23.173.764,11.5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=K
